[2025-10-22 08:08:15] [INFO    ] discord.client: logging in using static token
[2025-10-22 08:08:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-22 08:08:15] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-22 08:08:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1430360928205144084', 'username': 'First-Bot', 'avatar': None, 'discriminator': '7615', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-22 08:08:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-22 08:08:15] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-22 08:08:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1430360928205144084', 'name': 'First-Bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1430360928205144084', 'username': 'First-Bot', 'avatar': None, 'discriminator': '7615', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '9816f5ef237d0d48e54ed4d6ab1ff4b046324b8cd28c7528f3a20dd518904301', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1421888214540484682', 'username': 'raulacor', 'avatar': 'a_e68cd3c468b686cbae9ce61db27fe86d', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'a_b26b93ff88f937686d9bc1b4bf8a4d75', 'accent_color': None, 'global_name': 'raulacor', 'avatar_decoration_data': {'asset': 'a_7f44d538ec830f479605f7bf8720afda', 'sku_id': '1333866045303423026', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1409898407971127427', 'asset': 'nameplates/lunar_eclipse/moon_essence/', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOON_ESSENCE_NP_A11Y', 'palette': 'berry'}}, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-22 08:08:15] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-22 08:08:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-ns08",{"micros":0.0}]']}}
[2025-10-22 08:08:15] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-22 08:08:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
